,Missing Learners
0,10735
1,58368
2,92153
3,92290
4,90551
5,91536
6,95069
7,91778
8,92118
9,92526
10,91219
11,91984
12,CONT-2859
13,91635
14,91719
15,2570
16,92086
17,92379
18,92485
19,CONT-3148
20,CONT-2895 
21,CONT-2757
22,91925
23,91971
24,61692
25,C12243
26,61161
27,55935
28,91946
29,CONT-3225 
30,92299
31,91837
32,DS::19386
33,CONT-3108
34,92245
35,60888
36,91461
37,92023
38,CONT-2987
39,CONT-2966
40,DS::1720 
41,91377
42,CONT-3163  
43,92045
44,C18934
45,59284
46,52686
47,92360
48,92632
49,90550
50,92114
51,40057
52,61573
53,59116
54,762
55,95037
56,92043
57,90998
58,92566
59,92239
60,AE00085
61,CONT-2883
62,57989
63,91737
64,54867
65,CONT-2725
66,60038
67,CONT-3048
68,91398
69,92164
70,50874
71,CONT-489
72,92588
73,20568
74,56973
75,CONT-2921 
76,CONT-3036
77,92207
78,91815
79,95058
